user_id,item_id,clicks
000700c0,item_1495,3
000700c0,item_1849,1
000700c0,item_2681,1
000700c0,item_2684,2
000700c0,item_46,8
000700c0,item_4803,4
000700c0,item_753,1
0088a8aa,item_1849,7
0088a8aa,item_2797,6
0088a8aa,item_3556,5
0088a8aa,item_434,5
0088a8aa,item_4347,7
0088a8aa,item_4834,4
0088a8aa,item_960,6
01bf31c4,item_1005,4
01bf31c4,item_1401,8
01bf31c4,item_1979,2
01bf31c4,item_2221,3
01bf31c4,item_2267,7
01bf31c4,item_2797,5
01bf31c4,item_2966,9
01bf31c4,item_3925,3
01bf31c4,item_4473,6
01bf31c4,item_4637,6
01bf31c4,item_4803,5
023261c2,item_1760,8
023261c2,item_1949,6
023261c2,item_2369,5
023261c2,item_3708,3
023261c2,item_3865,9
023261c2,item_3896,8
023261c2,item_4311,1
023261c2,item_4347,2
023261c2,item_4550,6
023261c2,item_4795,3
023261c2,item_50,6
023261c2,item_911,5
023261c2,item_960,1
023b625d,item_1039,9
023b625d,item_1398,5
023b625d,item_1439,5
023b625d,item_1839,7
023b625d,item_2310,8
023b625d,item_2380,5
023b625d,item_2397,7
023b625d,item_450,1
023b625d,item_606,4
026d2a6f,item_1303,5
026d2a6f,item_2189,3
026d2a6f,item_2397,9
026d2a6f,item_2802,3
026d2a6f,item_2839,9
026d2a6f,item_3160,3
026d2a6f,item_3958,2
026d2a6f,item_4576,7
026d2a6f,item_4879,7
026d2a6f,item_606,11
026d2a6f,item_711,9
02bee08d,item_1080,1
02bee08d,item_1401,8
02bee08d,item_1439,4
02bee08d,item_1895,5
02bee08d,item_2385,1
02bee08d,item_2397,7
02bee08d,item_2415,1
02bee08d,item_2565,4
02bee08d,item_2677,7
02bee08d,item_3160,3
02bee08d,item_3965,9
02bee08d,item_3971,7
02bee08d,item_4751,4
02bee08d,item_4795,15
02bee08d,item_4952,2
0384f593,item_1401,8
0384f593,item_1439,2
0384f593,item_1503,7
0384f593,item_2397,6
0384f593,item_2652,7
0384f593,item_2867,9
0384f593,item_31,5
0384f593,item_3364,6
0384f593,item_4297,9
0384f593,item_4520,6
0384f593,item_4803,7
0384f593,item_4940,6
0384f593,item_606,12
03a627c5,item_1009,9
03a627c5,item_1169,3
03a627c5,item_1599,7
03a627c5,item_1617,6
03a627c5,item_2312,6
03a627c5,item_2397,5
03a627c5,item_2403,5
03a627c5,item_4261,1
03a627c5,item_4347,6
03a627c5,item_4803,2
03a627c5,item_694,4
03a627c5,item_788,5
03cd81db,item_132,5
03cd81db,item_1495,9
03cd81db,item_158,6
03cd81db,item_2802,8
03cd81db,item_2818,7
03cd81db,item_2975,4
03cd81db,item_3260,3
03cd81db,item_3603,6
03cd81db,item_3742,5
03cd81db,item_3927,8
03cd81db,item_4253,9
03cd81db,item_4614,9
03cd81db,item_587,4
03cd81db,item_606,9
03cd81db,item_711,2
03dea816,item_1037,9
03dea816,item_1624,2
03dea816,item_2880,5
03dea816,item_3170,2
03dea816,item_4539,4
03dea816,item_4709,9
03dea816,item_4997,6
03dea816,item_774,6
044e7f67,item_2008,4
044e7f67,item_2043,6
044e7f67,item_2479,3
044e7f67,item_2689,1
044e7f67,item_4184,7
044e7f67,item_434,3
044e7f67,item_456,1
044e7f67,item_606,8
045b56a4,item_1401,9
045b56a4,item_2397,17
045b56a4,item_3947,9
045b56a4,item_4046,7
045b56a4,item_4275,4
045b56a4,item_4347,7
045b56a4,item_4955,8
045b56a4,item_4964,2
045b56a4,item_702,3
046f5338,item_2181,5
046f5338,item_2418,6
046f5338,item_3783,1
046f5338,item_4347,7
046f5338,item_4997,4
046f5338,item_788,5
0489163b,item_1282,7
0489163b,item_1849,6
0489163b,item_3308,8
0489163b,item_4934,6
0489163b,item_4948,7
0489163b,item_99,5
0489163b,item_997,3
05b58ee2,item_2342,7
05b58ee2,item_2397,3
05b58ee2,item_2680,4
05b58ee2,item_2797,2
05b58ee2,item_2802,8
05b58ee2,item_3036,7
05b58ee2,item_3251,5
05b58ee2,item_3365,2
05b58ee2,item_3599,8
05b58ee2,item_4089,4
05b58ee2,item_760,1
05b58ee2,item_788,1
05f48f67,item_2397,11
05f48f67,item_434,9
05f48f67,item_4407,1
05f48f67,item_606,4
05f48f67,item_642,7
06104a36,item_1605,1
06104a36,item_3114,4
06104a36,item_3603,6
06104a36,item_4010,8
06104a36,item_4317,8
06104a36,item_434,7
06104a36,item_4414,2
06104a36,item_450,4
06104a36,item_469,1
06104a36,item_4715,9
06104a36,item_4832,5
06104a36,item_508,8
06369224,item_1335,8
06369224,item_1777,4
06369224,item_2802,2
06369224,item_2820,2
06369224,item_4275,6
06369224,item_606,8
06369224,item_773,1
06369224,item_788,3
067c2720,item_1221,2
067c2720,item_1536,3
067c2720,item_1849,10
067c2720,item_188,2
067c2720,item_2154,3
067c2720,item_2397,10
067c2720,item_346,3
067c2720,item_3539,4
067c2720,item_3599,8
067c2720,item_3788,7
067c2720,item_4013,7
067c2720,item_4193,8
067c2720,item_4262,8
067d7d35,item_1526,6
067d7d35,item_1704,2
067d7d35,item_2397,4
067d7d35,item_2666,1
067d7d35,item_3160,1
067d7d35,item_4462,9
067d7d35,item_4859,1
06ae6dfb,item_1401,9
06ae6dfb,item_1624,5
06ae6dfb,item_18,2
06ae6dfb,item_2397,7
06ae6dfb,item_2802,9
06ae6dfb,item_3317,3
06ae6dfb,item_3599,3
06ae6dfb,item_4213,9
06ae6dfb,item_4318,5
06ae6dfb,item_4637,2
07339cb9,item_2250,3
07339cb9,item_2693,7
07339cb9,item_2802,11
07339cb9,item_32,9
